codigoGrasa,Grado NLGI Consistencia,Viscosidad del Aceite Base a 40°C. cSt,Viscosidad a 100°C. cSt,Indice de Carga-Desgaste,"Carga Timken Ok, lb","Punto de Gota, °C","Punto de Soldadura Cuatro Bolas, kgf","Desgaste Cuatro Bolas, mm","Resistencia al Lavado por Agua a 80°C, %",Corrosión al Cobre,Espesante,Aceite Base,"Temperatura de Servicio °C, min","Temperatura de Servicio °C, max",Color,Textura,"Contenido de Disulfuro de Molibdeno, %",Indice de Viscosidad,"Punto de Inflamación, °C","Punto de Fluidez, °C","Ventómetro Lincoln, psig",descripcion,beneficios,aplicaciones,"Penetración de Cono a 25°C, 0.1mm",Temperatura de Pico (corto plazo) °C,"Estabilidad Mecánica, %",Bombeabilidad,Descripcion,Beneficios,Aplicaciones,Color Visual,"Ensayo de Vida en Rodamiento (1000 rpm, 160°C)",Torque a Baja Temperatura (-40°C),Designación DIN,"Penetración tras 104 golpes, 0.1mm","Ensayo Corrosión Niebla Salina, horas",Prevencion a la Corrosion,"Separacion del Aceite, %",Norma de Calidad,Ensayo Cuatro Bolas ASTM D-2266,"Penetración en Reposo, 0.1mm",Resistencia al Agua (DIN 51 807 T1),Densidad
Starplex EP 1 M3,1.0,220,19.0,72.0,50.0,245,400.0,0.43,30.0,1a,Complejo de Litio,ISO 220,-40.0,177.0,Gris/negro,"Suave, grasosa",3.0,97.0,274.0,-12.0,200/450/1250,Grasa EP avanzada con 3% de molibdeno para aplicaciones de carga pesada.,"Alta capacidad de carga, resistencia al agua, estabilidad térmica y protección anticorrosiva.","Camiones de carretera, vehículos todoterreno ligeros, maquinaria agrícola e industrial.",,,,,,,,,,,,,,,,,,,,
Starplex EP 2 M3,2.0,220,19.0,72.0,50.0,255,400.0,0.43,20.0,1a,Complejo de Litio,ISO 220,-40.0,177.0,Gris/negro,"Suave, grasosa",3.0,97.0,274.0,-12.0,250/700/1400,Grasa de presión extrema para vehículos y equipos de carretera o todoterreno.,Excelente estabilidad a alta temperatura y resistencia al desgaste en condiciones extremas.,"Sistemas de engrase centralizado, rodamientos y cojinetes de bolas en servicio severo.",,,,,,,,,,,,,,,,,,,,
Starplex EP 00,0.0,220,,50.0,50.0,132,315.0,0.45,,1b,Complejo de Litio,ISO 220,-40.0,132.0,Rojo,Pegajosa,,97.0,274.0,,,Grasa semilíquida EP para sistemas de lubricación centralizada.,Alta protección contra desgaste y buena adhesión en condiciones severas.,Lubricación centralizada y aplicaciones de engranajes cerrados.,,,,,,,,,,,,,,,,,,,,
Starplex EP 0,0.0,220,,50.0,50.0,235,315.0,0.45,,1b,Complejo de Litio,ISO 220,-40.0,132.0,Rojo,Pegajosa,,97.0,274.0,,,Grasa de consistencia suave EP para lubricación general en equipos móviles.,Excelente bombeabilidad y resistencia al desgaste en bajas temperaturas.,"Equipos agrícolas, forestales y de servicio público.",,,,,,,,,,,,,,,,,,,,
Starplex EP 2,2.0,220,,50.0,50.0,255,315.0,0.45,,1b,Complejo de Litio,ISO 220,-40.0,177.0,Rojo,Pegajosa,,97.0,274.0,,,Grasa EP de alto rendimiento para servicio severo en rodamientos y chasis.,"Excelente protección contra la corrosión y la oxidación, con buena resistencia al agua.","Rodamientos de automóviles, camiones y maquinaria pesada.",,,,,,,,,,,,,,,,,,,,
ANDEROL FGCS-2,2.0,95,,,,318,4000.0,,0.3,,Complejo de Sulfonato de Calcio,Aceite Blanco (White Oil),-20.0,160.0,Tan,Homogénea,,,,,,,,,265 - 295,200.0,,,Grasa grado alimenticio de complejo sulfonato de calcio con alta estabilidad mecánica y excelente resistencia a la corrosión.,"Excelente estabilidad mecánica y térmica, alta capacidad de carga, resistencia al lavado por agua y contacto incidental con alimentos (H1).","Aplicaciones de servicio pesado en la industria alimentaria, embotellado, cárnica y farmacéutica.",Marrón claro,180 horas,11.0 Nm,KP 2 U-40,,,,,,,,,
ULTRAPLEX MCS 1,1.0,460,,,,>300,620.0,0.31,18.0,1a,Complejo de Sulfonato de Calcio,Aceite mineral de alta viscosidad,-20.0,180.0,Ámbar anaranjada transparente,"Homogénea, adherente",,,,,,,,,320,,,,"Grasa de sulfonato de calcio reforzada con aditivos EP, excelente capacidad anticorrosiva y de extrema presión.","Alta estabilidad mecánica, gran resistencia al agua, elevada adherencia y protección a altas cargas.","Cojinetes, engranajes abiertos, reductores, cables, componentes mecánicos en minería, cementeras y siderurgia.",,,,,333.0,>1000,Pasa,0.12,ISO-L-XBEIB 1,0.31 mm,,,
ULTRAPLEX MCS 2,2.0,460,,,,>300,620.0,0.31,11.0,1a,Complejo de Sulfonato de Calcio,Aceite mineral de alta viscosidad,-20.0,180.0,Ámbar anaranjada transparente,"Homogénea, adherente",,,,,,,,,285,,,,Grasa con espesante complejo de sulfonato de calcio y alta resistencia a la corrosión y al lavado por agua.,"Excelente capacidad de carga, adherencia, estabilidad térmica y resistencia al envejecimiento.","Lubricación de maquinaria industrial pesada, engranajes, reductores, acoplamientos y cables.",,,,,295.0,>1000,Pasa,0.08,ISO-L-XBEIB 2,0.31 mm,,,
Delo Grease EP 00,0.0,226,20.7,,50.0,,315.0,0.45,,1b,Complejo de Litio,ISO 220,-40.0,132.0,Azul,Adherente (Tacky),,107.0,274.0,,,,,,,,,,"Grasa de presión extrema para uso en carretera y todoterreno, diseñada para cargas pesadas y condiciones severas.","Alta estabilidad térmica, excelente resistencia a la corrosión, gran capacidad de carga y buena bombeabilidad.","Lubricación de chasis, rodamientos, sistemas automáticos de engrase centralizado y ejes de pivote.",,,,,,,Pasa,,,,,,
Delo Grease EP 0,0.0,226,20.7,,50.0,235.0,315.0,0.45,15.0,1b,Complejo de Litio,ISO 220,-40.0,132.0,Azul,Adherente (Tacky),,107.0,274.0,,,,,,,,,,"Grasa EP para aplicaciones ligeras todoterreno y vehículos medianos, con excelente resistencia al agua y estabilidad mecánica.","Excelente protección anticorrosiva, alta capacidad de carga y buena adhesividad en condiciones húmedas.","Vehículos agrícolas, forestales y de servicios públicos; engrase centralizado y cojinetes expuestos.",,,,,,,Pasa,5.0,,,,,
